line_text,speaker
All right Jim. Your quarterlies look very good. How are things at the library?,Michael
"Oh, I told you. I couldn't close it. So...",Jim
"So you've come to the master for guidance? Is this what you're saying, grasshopper?",Michael
"Actually, you called me in here, but yeah.",Jim
"All right. Well, let me show you how it's done.",Michael
"[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",Michael
"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?",Michael
Well. I don't know.,Pam
"If you think she's cute now, you should have seen her a couple of years ago. [growls]",Michael
What?,Pam
Any messages?,Michael
"Uh, yeah. Just a fax.",Pam
"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",Michael
You haven't told me.,Pam
It's called the wastepaper basket! Look at that! Look at that face.,Michael
"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",Michael
[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],Dwight
"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",Jim
Whassup!,Michael
Whassup! I still love that after seven years.,Jim
Whassup!,Michael
Whassup!,Dwight
Whass...up!,Michael
Whassup.,Dwight
"[Strains, grunts] What?",Michael
Nothing.,Jim
OK. All right. See you later.,Michael
All right. Take care.,Jim
Back to work.,Michael
[on her cell phone] Just before lunch. That would be great.,Jan
"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",Michael
"Alright, was there anything you wanted to add to the agenda?",Jan
Um... Me no get an agenda.,Michael
What? I'm sorry?,Jan
I didn't get any agenda.,Michael
"Well, I faxed one over to you this morning.",Jan
Really? I didn't... [looks at Pam] Did we get a fax this morning?,Michael
"Uh, yeah, the one...",Pam
"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",Michael
You put in the garbage can that was a special filing cabinet.,Pam
"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",Michael
Do you want to look at mine?,Jan
"Yeah, yeah. Lovely. Thank you.",Michael
"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",Jan
OK...,Michael
"Michael, don't panic.",Jan
"No, no, no, no, this is good. This is good. This is fine. Excellent.",Michael
"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",Jan
All the alarm bells are kind of going... ringie-dingie-ding!,Michael
I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,Jan
OK. No problem.,Michael
"This does, however, mean that there is going to be downsizing.",Jan
"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",Michael
"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Michael
Go ahead.,Jan
Packman.,Michel
"Hey, you big queen.",Todd Packer
"Oh, that's not appropriate.",Michael
"Hey, is old Godzillary coming in today?",Todd Packer
